HotspotID,LabName,Addresses
176,"RML Mehrotra Pathology Pvt Ltd., Lucknow","A-21/A, Nirala Nagar, Lucknow, Uttar Pradesh 226020"
177,"CORE Diagnostics Pvt Ltd, Gurugram","CORE Diagnostics Pvt Ltd, 406, Udyog Vihar III, Sector 20, Gurugram, Haryana 122016"
178,"DDRC SRL Diagnostics Pvt Ltd, Ernakulam","DDRC SRL Diagnostics Pvt Ltd, TOWER,G-131, Panampilly Nagar, Ernakulam, Kerala 682036"
179,"Malabar Cancer Centre, Thalassery","Kodiyeri, Muzhikkara - MCC Rd, Illathaazha, Thalassery, Kerala 670103"
180,"PATHCARE Labs Pvt. Ltd., Hyderabad","Sy. #34, Opp: Geethanjali Engineering College, Cheeryal (V), Keesara (M), Greater Hyderabad, Telangana 501301"
183,"Institute of Preventive Medicine, Hyderabad","Narayanaguda, Hyderabad, Telangana 500029"
184,"AMERICAN Institute of Pathology and Laboratory Sciences Private Limited, Hyderabad","AMERICAN Institute of Pathology and Laboratory Sciences Private Limited, Door No. 1-100/CCH, Second Floor, At Citizens Hospital, Nallagandla, Serilingampally, Hyderabad, Telangana 500019"
185,"Department of Laboratory Sciences, Tata Medical Center, Kolkata","Department of Laboratory Sciences, Tata Medical Center, 14, MAR(E-W), DH Block(Newtown), Action Area I, Newtown, Kolkata, West Bengal 700160"
186,"Prognosis Laboratories, New Delhi","515-516, Behind Gupta Properties, Sector 19, Pocket 1, Dwarka, New Delhi, Delhi 110075"
187,"K.A.P. Viswanatham Government Medical College, Trichy","K.A.P.Viswanatham Government Medical College, Periyamilaguparai, Colletor's office Road, Trichy, Tamil Nadu 620001"
188,"MIMS Laboratory Services, Kozhikode","Aster MIMS Laboratory Services, Mini, Mini Bypass Rd, Govindapuram, Kozhikode, Kerala 673016"
189,"City x-Ray & Scan Clinic Pvt. Ltd., New Delhi ","City X Ray & Scan Clinic Pvt. Ltd., Molecular Laboratory, Third Floor,City Imaging Building, 4B/18, Tilak Nagar, Near haldiram, New Delhi 110018"
190,"Tata Memorial Centre Diagnostic Services, Tata Memorial Hospital, Mumbai","Dept. of Microbiology & Serology, 6th Floor, Anexe Building, Tata Memorial Hospital, Dr. E. Borges Road, Parel, Mumbai 400012"
191,"Medcis Pathlabs India Pvt.Ltd., Secunderabad","Plot 16 & 17, Swathi Plaza, Bhavani Enclave, Anand Nagar, New Bowenpally, near Asish Gardens, Hyderabad, Telangana 500011"
192,"Molq Lab (A Unit of Molecular Quest Healthcare Private Limited), Gurugram","Plot 28-29, Sector 18(P), Electronic City, Udyog Vihar Phase-IV, Gurugram, Haryana 122001"
193,"V. M. Govt. Medical College, Solapur","Opp. District Court, Solapur, Maharashtra 413003, India"
194,"Goa Medical College and Hospital, Bambolim","Bambolim, Tiswadi Goa India 403202"
195,"Haffkine Institute, Mumbai","Acharya Donde Marg, Parel, Mumbai 400012, Maharashtra"
198,"Defence Research & Development Establishment (DRDE), Gwalior","Defence Research & Development Organisation, Jhansi Road, Gwalior-474002, Madhya Pradesh"
199,"Stanley Medical College, Chennai","No. 1, Old Jail Rd, Old Washermanpet, Chennai, Tamil Nadu 600001"
205,"Sir Thutob Namgyal Memorial (STNM), Gangtok","Sungava, Gangtok, Sikkim 737101"
206," Sonam Nurboo Memorial Hospital, Leh-Ladakh","Sonam Nurboo Memorial Hospital, Old Leh Rd, Leh-Ladakh, Ladakh 194101"
207,"Tomo Riba Institute Health and Medical Sciences (TRIHMS), Naharlagun","Old Assembly Complex, Naharlagun, Papumpare District, Arunachal Pradesh 791110"
208,"Y. R. Gaitonde Centre for AIDS Research and Education (YRG Care), Chennai","Division of Molecular Biology & Genotyping, YRG CARE Infectious Diseases Laboratory VHS Hospital Campus, Rajiv Gandhi Road, Tharamani, Chennai, Tamil Nadu 600113"
210,"Central University of Kerala, Kasaragod","Central University of Kerala, Tejaswini Hills, Periye (PO), Kasaragod (DT), Kerala - 671316"
211,"Microbiological Laboratory, Coimbatore","Microbiological laboratory, no-02, kings colony, united nagar, veerakeralam road, vadavalli, Coimbatore, Tamil Nadu, India"
212,"School of Tropical Medicine, Kolkata","108, Chittaranjan Avenue, Kolkata - 700073, West Bengal"
214,"The Department of Laboratory Medicine, Yashoda Hospital, Secunderabad","9th Floor, 1-1-156 & 157, Alexander Road, S. P. Road, Secunderabad, Telangana 500003"
215,"Dr. Ahuja’s Pathlogy and Imaging Centre-Department of Laboratory Medicine, Dehradun","7-B Astley Hall, Ugrasain Rd, Dehradun, Uttarakhand 248001"
216,"PATHKIND Diagnostics Pvt. Ltd., Gurugram","Plot No. 55, 56, Service Lane, Phase IV, Udyog Vihar, Sector 18, Gurugram, Haryana 122015"
218,"ESIC Medical College and Hospital, Faridabad","ESIC Medical College and Hospital, NH-3, NIT, Faridabad, Haryana"
